entity;relations
chemical_weapon;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
portable_camera;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
tabun_weapon;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
tool;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
loading_truck;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
carpentry_tool;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
cars;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
wheelbarrow;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
computer_printer;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
water_pistol;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
putty_knife;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
hide_beds;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
computer_ports;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
gun;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
miter_box;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
tablet;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
vm_poison;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
hand_grenade;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
lethal_weapon;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
key_ring;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
vx_poison;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
nissan_truck;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
